Mass,Events,Error
0.720652174,11.64383562,3.931623932
0.767934783,25,6.495726496
0.821127717,42.6369863,8.547008547
0.870380435,63.69863014,10.25641026
0.919633152,103.5958904,13.5042735
0.970855978,183.2191781,18.11965812
1.020108696,114.7260274,14.01709402
1.071331522,69.52054795,10.5982906
1.120584239,59.24657534,10.25641026
1.169836957,48.11643836,8.717948718
1.221059783,42.46575342,8.205128205
1.2703125,52.05479452,9.230769231
1.319565217,48.11643836,8.717948718
1.370788043,38.69863014,7.692307692
1.420040761,27.73972603,6.495726496
1.469293478,19.17808219,5.641025641
1.522486413,24.65753425,5.982905983
