Mass,Event,Error
0.701839504,24.9029884,10.28601695
0.725480818,27.33915031,11.63944024
0.749122131,26.52709634,13.53423283
0.770944882,35.73037467,14.07560214
0.794586195,44.66296833,15.69971008
0.818227509,44.93365299,15.69971008
0.841868822,68.21253345,19.21861062
0.863691573,65.23500223,19.48929528
0.889151449,94.19826048,22.73751119
0.909155637,130.7406891,26.2564117
0.932796951,154.5609389,28.6925736
0.956438264,222.232103,34.3769514
0.978261015,283.9482047,38.9785905
1.001902329,258.2331624,37.3544826
1.025543642,195.1636374,32.7528434
1.049184956,173.5088649,30.3166816
1.071007706,151.5834077,29.2339429
1.09464902,131.5527431,27.0684656
1.118290333,131.2820584,26.797781
1.141931647,142.9214987,27.609835
1.163754398,132.0941124,26.797781
1.187395711,159.4332627,28.6925736
1.211037025,159.7039474,29.7753122
1.232859776,149.1472458,29.5046275
1.256501089,149.1472458,30.3166815
1.280142402,135.3423283,30.0459968
1.301965153,162.4107939,33.5648974
