#CLAS physics database search results
#Measurement E28M2
#g11
#M. Battaglieri
#2009
#
#-t variable	M(pi+,pi-)	Y_00	Data errors
#GeV2	GeV	mcb/GeV3	mcb/GeV3
0.45	0.405	1.514	0.2305
0.45	0.415	1.51	0.2697
0.45	0.425	1.906	0.3124
0.45	0.435	1.741	0.2293
0.45	0.445	2.02	0.4285
0.45	0.455	2.045	0.316
0.45	0.465	2.299	0.3095
0.45	0.475	1.966	0.4176
0.45	0.485	2.471	0.3109
0.45	0.495	2.308	0.4194
0.45	0.505	2.54	0.4523
0.45	0.515	2.78	0.4054
0.45	0.525	3.267	0.402
0.45	0.535	2.583	0.9693
0.45	0.545	3.347	0.502
0.45	0.555	3.872	0.5367
0.45	0.565	4.127	0.467
0.45	0.575	4.276	0.4773
0.45	0.585	5.047	0.5802
0.45	0.595	5.196	0.5789
0.45	0.605	6.223	0.7105
0.45	0.615	6.402	0.7342
0.45	0.625	7.133	0.7693
0.45	0.635	8.113	0.9259
0.45	0.645	9.215	0.9975
0.45	0.655	10.12	1.168
0.45	0.665	11.36	1.36
0.45	0.675	13.11	1.397
0.45	0.685	14.74	1.622
0.45	0.695	17.06	1.822
0.45	0.705	20.52	2.106
0.45	0.715	22.03	2.324
0.45	0.725	25.13	2.662
0.45	0.735	28.49	2.953
0.45	0.745	30.57	3.118
0.45	0.755	32.74	3.332
0.45	0.765	33.52	3.474
0.45	0.775	32.5	3.29
0.45	0.785	31.4	3.225
0.45	0.795	27.5	2.817
0.45	0.805	25.12	2.567
0.45	0.815	23.12	2.363
0.45	0.825	21.37	2.286
0.45	0.835	19.05	1.983
0.45	0.845	17.52	1.807
0.45	0.855	15.16	1.563
0.45	0.865	13.79	1.459
0.45	0.875	13.23	1.364
0.45	0.885	11.65	1.231
0.45	0.895	10.83	1.135
0.45	0.905	10.15	1.053
0.45	0.915	9.183	1.008
0.45	0.925	8.723	0.9588
0.45	0.935	8.176	0.9604
0.45	0.945	7.938	0.888
0.45	0.955	7.542	0.8815
0.45	0.965	7.314	0.7719
0.45	0.975	6.979	0.7372
0.45	0.985	6.562	0.8474
0.45	0.995	6.318	0.7983
0.45	1.005	6.022	0.7168
0.45	1.015	5.605	0.7026
