CLAS physics database search results
Measurement E28M14
g11
M. Battaglieri
2009

-t variable	M(pi+,pi-)	Y_20	Data errors
GeV2	GeV	mcb/GeV3	mcb/GeV3
0.45	0.405	0.1072	0.09895
0.45	0.415	0.05679	0.09354
0.45	0.425	0.0117	0.1575
0.45	0.435	0.05921	0.1046
0.45	0.445	0.1332	0.2009
0.45	0.455	0.2154	0.1703
0.45	0.465	0.2185	0.1403
0.45	0.475	0.3262	0.1844
0.45	0.485	0.4115	0.1619
0.45	0.495	0.5071	0.2303
0.45	0.505	0.4736	0.2475
0.45	0.515	0.5868	0.2193
0.45	0.525	0.3991	0.1898
0.45	0.535	0.8012	0.5866
0.45	0.545	0.4775	0.267
0.45	0.555	0.3203	0.2837
0.45	0.565	0.6096	0.1856
0.45	0.575	0.5491	0.1668
0.45	0.585	0.5311	0.2119
0.45	0.595	0.4565	0.1889
0.45	0.605	0.04838	0.2436
0.45	0.615	-0.06723	-0.225
0.45	0.625	-0.1031	-0.1958
0.45	0.635	-0.422	-0.3067
0.45	0.645	-0.8321	-0.3781
0.45	0.655	-0.7755	-0.3731
0.45	0.665	-1.267	-0.4883
0.45	0.675	-1.753	-0.3968
0.45	0.685	-2.32	-0.4491
0.45	0.695	-3.34	-0.4971
0.45	0.705	-4.566	-0.6456
0.45	0.715	-5.136	-0.5983
0.45	0.725	-6.189	-0.7579
0.45	0.735	-7.786	-0.8928
0.45	0.745	-9.007	-1.074
0.45	0.755	-10.18	-1.409
0.45	0.765	-10.52	-1.204
0.45	0.775	-10.14	-1.363
0.45	0.785	-10.14	-1.581
0.45	0.795	-9.152	-1.258
0.45	0.805	-7.854	-0.9799
0.45	0.815	-7.257	-1.012
0.45	0.825	-6.747	-1.141
0.45	0.835	-5.781	-0.908
0.45	0.845	-5.376	-1.005
0.45	0.855	-3.897	-0.6173
0.45	0.865	-3.241	-0.6474
0.45	0.875	-3.162	-0.6646
0.45	0.885	-2.285	-0.407
0.45	0.895	-1.988	-0.4075
0.45	0.905	-1.595	-0.4649
0.45	0.915	-0.9811	-0.2916
0.45	0.925	-0.9523	-0.2305
0.45	0.935	-0.5172	-0.1954
0.45	0.945	-0.1882	-0.1636
0.45	0.955	0.05494	0.1446
0.45	0.965	0.1119	0.1965
0.45	0.975	0.2339	0.1937
0.45	0.985	0.5526	0.1668
0.45	0.995	0.8101	0.2018
0.45	1.005	0.7529	0.1543
0.45	1.015	0.8483	0.1738
0.45	1.025	1.429	0.2804
0.45	1.035	1.113	0.1987
0.45	1.045	1.382	0.2193
0.45	1.055	1.476	0.2664
0.45	1.065	1.571	0.2657
0.45	1.075	1.653	0.2091
0.45	1.085	1.567	0.2196
0.45	1.095	1.732	0.2389
0.45	1.105	1.646	0.2393
0.45	1.115	1.833	0.2282
0.45	1.125	2.061	0.33
0.45	1.135	1.94	0.2577
0.45	1.145	1.965	0.2944
0.45	1.155	2.017	0.2632
0.45	1.165	2.063	0.2558
0.45	1.175	2.105	0.2924
0.45	1.185	2.127	0.2773
0.45	1.195	2.154	0.2495
0.45	1.205	2.11	0.279
0.45	1.215	1.977	0.2429
0.45	1.225	2.269	0.2668
0.45	1.235	2.067	0.2464
0.45	1.245	2.04	0.2552
0.45	1.255	2.02	0.2385
0.45	1.265	2.002	0.262
0.45	1.275	2.223	0.2799
0.45	1.285	2.102	0.3271
0.45	1.295	2.059	0.2729
0.45	1.305	1.949	0.3123
0.45	1.315	2.189	0.3523
0.45	1.325	1.9	0.2747
0.45	1.335	2.289	0.4123
0.45	1.345	2.2	0.3803
0.45	1.355	2.136	0.3329
0.45	1.365	1.954	0.333
0.45	1.375	1.837	0.2551
0.45	1.385	2.099	0.3759
0.45	1.395	1.987	0.3474
0.55	0.405	0.1527	0.07456
0.55	0.415	0.2561	0.1035
0.55	0.425	0.203	0.08366
0.55	0.435	0.2304	0.1715
0.55	0.445	0.3536	0.1633
0.55	0.455	0.2564	0.1284
0.55	0.465	0.4079	0.2069
0.55	0.475	0.3994	0.1806
0.55	0.485	0.4814	0.1842
0.55	0.495	0.4171	0.1468
0.55	0.505	0.4686	0.1492
0.55	0.515	0.6321	0.1752
0.55	0.525	0.491	0.1709
0.55	0.535	0.4937	0.1243
0.55	0.545	0.4639	0.1198
0.55	0.555	0.6766	0.1284
0.55	0.565	0.7515	0.183
0.55	0.575	0.6267	0.1503
0.55	0.585	0.559	0.1891
0.55	0.595	0.5967	0.2153
0.55	0.605	0.6932	0.1741
0.55	0.615	0.6911	0.2792
0.55	0.625	0.3478	0.1523
0.55	0.635	0.6739	0.262
0.55	0.645	0.405	0.1662
0.55	0.655	0.4404	0.3481
0.55	0.665	0.2782	0.2809
0.55	0.675	-0.1955	-0.3264
0.55	0.685	-0.4721	-0.3151
0.55	0.695	-0.6002	-0.3128
0.55	0.705	-1.375	-0.4359
