Energy;Events;
0.69;25.11;
0.72;27.70;
0.74;26.84;
0.76;36.36;
0.79;45.02;
0.81;45.45;
0.86;66.01;
0.83;68.83;
0.88;94.80;
0.90;131.59;
0.92;155.40;
0.95;223.36;
0.99;259.72;
1.02;196.30;
1.04;174.44;
1.07;152.37;
1.09;132.46;
1.11;132.24;
1.13;143.71;
1.16;132.89;
1.18;160.59;
1.20;160.59;
1.23;149.99;
1.25;149.99;
1.27;136.14;
1.30;163.62;
1.32;129.86;
1.34;126.61;
1.37;103.02;
1.39;122.93;
1.41;85.27;
1.43;86.79;
1.48;89.82;
1.46;56.71;
1.50;66.88;
1.53;73.15;
1.55;81.60;
1.57;51.73;
1.60;71.64;
1.62;100.21;
1.64;108.43;
1.67;137.22;
1.69;134.40;
1.71;133.54;
1.74;123.80;
1.76;97.18;
1.78;108.22;
1.80;107.57;
1.83;83.54;
1.85;109.73;
1.87;124.23;
1.90;113.63;
1.92;128.13;
1.94;102.81;
1.99;125.10;
2.01;147.39;
2.04;154.97;
2.06;181.37;
1.97;166.65;
2.08;117.31;
2.13;127.91;
2.15;132.89;
2.17;128.34;
2.20;130.29;
2.25;136.35;
2.27;120.55;
2.29;113.19;
2.31;115.36;
2.34;116.66;
2.11;151.07;
2.22;133.32;
2.36;103.89;
2.38;119.47;
2.41;123.80;
2.43;98.04;
2.45;77.92;
2.48;92.63;
2.50;101.29;
2.52;75.97;
2.55;85.92;
2.57;73.15;
2.59;75.75;
2.62;66.88;
2.64;80.95;
2.66;61.03;
2.69;51.94;
2.71;30.30;
2.73;33.33;
2.76;28.57;
2.78;4.11;
2.80;2.38;
0.67;2.16;
0.97;285.69;
