#Digilent WaveForms Curve Tracer Trace
#Type:NPN
#Frequency:10 kHz
#RCollector:100 Ohm
#RBase:10 kOhm
#Resolution:
#Vce:0 V
#Ic:0 A
#Vbe:338.5301671 uV
#Ib:-34.1779881146 nA
Vce (V),Ic (A),Vbe (V),Ib (A),Vrc (V),Vrb (V)
0,0,-0.00110584396187307,-5.595051772971117e-08,5,0
0,0,0.005664759380071657,-6.897090877191257e-08,5,0.0075
0,0,0.01311242305621086,-4.911535080372741e-08,5,0.015
0,0,0.02022155656525282,-6.278676139803887e-08,5,0.0225
0,0,0.02800775040848926,-7.776021109657048e-08,5,0.03
0,0,0.03477835375043399,-5.660261402416518e-08,5,0.0375
0,0,0.04256454759367043,-7.157606372269679e-08,5,0.045
0,0,0.05068927160400409,-5.302254485873174e-08,5,0.0525
0,0,0.05847546544724053,-6.799599455726335e-08,5,0.06
0,0,0.06558459895628249,-4.748941703696812e-08,5,0.0675
0,0,0.07337079279951893,-6.246286673549972e-08,5,0.075
0,0,0.07980286597436642,-4.065425011098434e-08,5,0.0825
0,0,0.0879275899847001,-5.627871936162604e-08,5,0.09
0,0,0.09469819332664482,-6.929911040382742e-08,5,0.0975
0,0,0.1031614475040757,-5.139661109197249e-08,5,0.105
0,0,0.1106091111802149,-6.571904123839403e-08,5,0.1125
0,0,0.1183953050234514,-8.069249093692564e-08,5,0.12
0,0,0.1255044385324933,-9.436390153123706e-08,5,0.1275
0,0,0.1329521022086325,-7.450834356305191e-08,5,0.135
0,0,0.1400612357176745,-8.817975415736334e-08,5,0.1425
0,0,0.1475088993938137,-6.832419618917818e-08,5,0.15
0,0,0.1556336234041474,-8.394866543981988e-08,5,0.1575
0,0,0.1634198172473838,-6.474412702374479e-08,5,0.165
0,0,0.1701904205893285,-7.776451806594618e-08,5,0.1725
0,0,0.1786536747667594,-5.986201875409122e-08,5,0.18
0,0,0.1850857479416069,-7.223139024418257e-08,5,0.1875
0,0,0.1932104719519406,-5.367787138021752e-08,5,0.195
0,0,0.1999810752938853,-6.669826242241891e-08,5,0.2025
0,0,0.2084443294713162,-8.297375122517069e-08,5,0.21
0,0,0.2158919931474554,-6.311819325698546e-08,5,0.2175
0,0,0.2233396568235946,-7.744062340340703e-08,5,0.225
0,0,0.2304487903326366,-9.111203399771851e-08,5,0.2325
0,0,0.238234984175873,-7.190749558164337e-08,5,0.24
0,0,0.2456826478520122,-8.622992572806494e-08,5,0.2475
0,0,0.2531303115281515,-6.637436775987981e-08,5,0.255
0,0,0.2612550355384851,-8.199883701052146e-08,5,0.2625
0,0,0.2687026992146243,-6.214327904233628e-08,5,0.27
0,0,0.2758118327236663,-7.581468963664776e-08,5,0.2775
0,0,0.2835980265669028,-9.078813933517941e-08,5,0.285
0,0,0.2903686299088474,-6.963054226277405e-08,5,0.2925
0,0,0.2981548237520839,-8.460399196130582e-08,5,0.3
0,0,0.3059410175953203,-6.539945354523063e-08,5,0.3075
0,0,0.3144042717727512,-8.167494234798225e-08,5,0.315
0,0,0.3211748751146959,-9.469533339018375e-08,5,0.3225
0,0,0.3286225387908351,-7.483977542199846e-08,5,0.33
0,0,0.3364087326340716,-5.563523700592359e-08,5,0.3375
0,0,0.3431793359760163,-6.865562804812487e-08,5,0.345
0,0,0.3509655298192528,-4.945108963204978e-08,5,0.3525
0,0,0.3577361331611975,-6.247148067425117e-08,5,0.36
0,0,0.3668764476728228,-8.004900858122298e-08,5,0.3675
0,0,0.374324111348962,-6.01934506130379e-08,5,0.375
0,0,0.381433244858004,-7.386486120734938e-08,5,0.3825
0,0,0.3888809085341433,-5.40093032391642e-08,5,0.39
0,0,0.3959900420431852,-6.768071383347568e-08,5,0.3975
0,0,0.4030991755522272,-8.135212442778716e-08,5,0.405
0,0,0.4108853693954636,-6.214758601171207e-08,5,0.4125
0,0,0.4193486235728945,-4.424508669985706e-08,5,0.42
0,0,0.4267962872490337,-5.856751684627863e-08,5,0.4275
0,0,0.4335668905909784,-7.158790788848002e-08,5,0.435
0,0,0.4413530844342149,-8.656135758701167e-08,5,0.4425
0,0,0.4484622179432568,-6.60547800667163e-08,5,0.45
0,0,0.4562484117864933,-8.102822976524806e-08,5,0.4575
0,0,0.463019015128438,-9.404862080744945e-08,5,0.465
0,0,0.4718207994729661,-7.679714104770442e-08,5,0.4725
0,0,0.4789299329820081,-9.04685516420159e-08,5,0.48
0,0,0.4867161268252445,-7.126401322594081e-08,5,0.4875
