#Digilent WaveForms Curve Tracer Trace
#Type:NPN
#Frequency:10 kHz
#RCollector:100 Ohm
#RBase:10 kOhm
#Resolution:
#Vce:0 V
#Ic:0 A
#Vbe:338.2418971 uV
#Ib:-34.3484058979 nA
Vce (V),Ic (A),Vbe (V),Ib (A),Vrc (V),Vrb (V)
0,0,-0.002526679658389226,1.227245100642927e-07,5,0
0,0,0.004238158283169095,1.097152063305267e-07,5,0.0075
0,0,0.01167948001888325,1.297533781213322e-07,5,0.015
0,0,0.01878255985751949,1.160936092008779e-07,5,0.0225
0,0,0.02622388159323364,1.361317809916833e-07,5,0.03
0,0,0.03298871953479196,1.231224772579173e-07,5,0.0375
0,0,0.04076828316758403,1.425101838620345e-07,5,0.045
0,0,0.04888608869745402,1.268990193815153e-07,5,0.0525
0,0,0.05666565233024609,1.119383200876844e-07,5,0.06
0,0,0.06410697406596025,1.319764918784898e-07,5,0.0675
0,0,0.07154829580167439,1.176662577713472e-07,5,0.075
0,0,0.07865137564031063,1.38354894748841e-07,5,0.0825
0,0,0.08575445547894688,1.590435317263347e-07,5,0.09
0,0,0.09353401911173895,1.097344265345558e-07,5,0.0975
0,0,0.101313582744531,1.291221331386729e-07,5,0.105
0,0,0.109431388274401,1.478593745561018e-07,5,0.1125
0,0,0.1165344681130372,1.341996056356475e-07,5,0.12
0,0,0.1243140317458293,1.192389063418166e-07,5,0.1275
0,0,0.1320935953786214,1.386266129459337e-07,5,0.135
0,0,0.1388584333201797,1.256173092121678e-07,5,0.1425
0,0,0.1462997550558938,1.113070751050252e-07,5,0.15
0,0,0.1544175605857638,1.300443165224541e-07,5,0.1575
0,0,0.1621971242185559,1.150836172286231e-07,5,0.165
0,0,0.1689619621601142,1.364227193928051e-07,5,0.1725
0,0,0.1770797676899842,1.20811554912286e-07,5,0.18
0,0,0.1838446056315425,1.421506570764681e-07,5,0.1875
0,0,0.1912859273672567,1.278404229693255e-07,5,0.195
0,0,0.1990654910000488,1.128797236754945e-07,5,0.2025
0,0,0.2071832965299188,1.316169650929234e-07,5,0.21
0,0,0.2146246182656329,1.173067309857808e-07,5,0.2175
0,0,0.2217276981042691,1.379953679632745e-07,5,0.225
