#Digilent WaveForms Curve Tracer Trace
#Type:NPN
#Frequency:10 kHz
#RCollector:100 Ohm
#RBase:10 kOhm
#Resolution:
#Vce:3.769476828 mV
#Ic:37.13309425 uA
#Vbe:343.484059 uV
#Ib:-34.3484058979 nA
Vce (V),Ic (A),Vbe (V),Ib (A),Vrc (V),Vrb (V)
0,-4.855115228184871e-05,-0.003583043520068734,0,5,0
0,-1.141805803155506e-05,0.00363012171850036,0,5,0.0075
0,-1.141805803155506e-05,0.01015631883911049,0,5,0.015
0,-1.141805803155506e-05,0.01805645219563855,0,5,0.0225
0,-1.141805803155506e-05,0.02492613337522816,0,5,0.03
0,-1.141805803155506e-05,0.03213929861379725,0,5,0.0375
0,-4.855115228184871e-05,0.03969594791134583,0,5,0.045
0,-1.141805803155506e-05,0.04828304938583285,0,5,0.0525
0,-4.855115228184871e-05,0.05549621462440194,0,5,0.06
0,-4.855115228184871e-05,0.06270937986297104,0,5,0.0675
0,-4.855115228184871e-05,0.06992254510154013,0,5,0.075
0,-4.855115228184871e-05,0.07679222628112974,0,5,0.0825
0,-4.855115228184871e-05,0.0846923596376578,0,5,0.09
0,-1.141805803155506e-05,0.09190552487622689,0,5,0.0975
0,-1.141805803155506e-05,0.09980565823275495,0,5,0.105
0,-1.141805803155506e-05,0.107705791589283,0,5,0.1125
0,-1.141805803155506e-05,0.1149189568278521,0,5,0.12
0,-1.141805803155506e-05,0.1217886380074417,0,5,0.1275
0,-4.855115228184871e-05,0.1293452873049903,0,5,0.135
0,-4.855115228184871e-05,0.1369019366025389,0,5,0.1425
0,-4.855115228184871e-05,0.1437716177821285,0,5,0.15
0,-1.141805803155506e-05,0.152015235197636,0,5,0.1575
0,-1.141805803155506e-05,0.1599153685541641,0,5,0.165
0,-1.141805803155506e-05,0.1664415656747742,0,5,0.1725
0,-4.855115228184871e-05,0.1746851830902817,0,5,0.18
0,-4.855115228184871e-05,0.1815548642698713,0,5,0.1875
0,-4.855115228184871e-05,0.1887680295084404,0,5,0.195
0,-4.855115228184871e-05,0.196324678805989,0,5,0.2025
0,-1.141805803155506e-05,0.2042248121625171,0,5,0.21
0,-1.141805803155506e-05,0.2114379774010862,0,5,0.2175
0,-1.141805803155506e-05,0.2189946266986347,0,5,0.225
0,-4.855115228184871e-05,0.2262077919372038,0,5,0.2325
0,-4.855115228184871e-05,0.2330774731167934,0,5,0.24
0,-1.141805803155506e-05,0.2416645745912805,0,5,0.2475
0,-4.855115228184871e-05,0.2481907717118906,0,5,0.255
0,-1.141805803155506e-05,0.2564343891273981,0,5,0.2625
0,-1.141805803155506e-05,0.2639910384249468,0,5,0.27
0,-1.141805803155506e-05,0.2712042036635158,0,5,0.2775
0,-4.855115228184871e-05,0.2784173689020849,0,5,0.285
0,-1.141805803155506e-05,0.285630534140654,0,5,0.2925
0,-4.855115228184871e-05,0.2928436993792231,0,5,0.3
0,-4.855115228184871e-05,0.3000568646177921,0,5,0.3075
0,-1.141805803155506e-05,0.3089874501512586,0,5,0.315
0,-4.855115228184871e-05,0.3162006153898278,0,5,0.3225
0,-4.855115228184871e-05,0.3230702965694173,0,5,0.33
0,-1.141805803155506e-05,0.3313139139849249,0,5,0.3375
0,-1.141805803155506e-05,0.337840111105535,0,5,0.345
0,-1.141805803155506e-05,0.3447097922851247,0,5,0.3525
0,-1.141805803155506e-05,0.3522664415826733,0,5,0.36
0,-1.141805803155506e-05,0.3608535430571602,0,5,0.3675
0,-1.141805803155506e-05,0.3680667082957293,0,5,0.375
0,-1.141805803155506e-05,0.3749363894753189,0,5,0.3825
0,-1.141805803155506e-05,0.382836522831847,0,5,0.39
0,-1.141805803155506e-05,0.3897062040114366,0,5,0.3975
0,-1.141805803155506e-05,0.3976063373679647,0,5,0.405
0,-1.141805803155506e-05,0.4044760185475543,0,5,0.4125
0,-4.855115228184871e-05,0.4127196359630618,0,5,0.42
0,-4.855115228184871e-05,0.4192458330836719,0,5,0.4275
0,-1.141805803155506e-05,0.4268024823812205,0,5,0.435
0,-4.855115228184871e-05,0.4347026157377486,0,5,0.4425
0,-4.855115228184871e-05,0.4422592650352971,0,5,0.45
0,-4.855115228184871e-05,0.4494724302738663,0,5,0.4575
0,-4.855115228184871e-05,0.4563421114534558,0,5,0.465
0,-4.855115228184871e-05,0.4645857288689634,0,5,0.4725
0,-4.855115228184871e-05,0.4721423781665119,0,5,0.48
0,-4.855115228184871e-05,0.4790120593461016,0,5,0.4875
0,-4.855115228184871e-05,0.4862252245846707,0,5,0.495
0,-4.855115228184871e-05,0.4937818738822193,0,5,0.5024999999999999
0,-4.855115228184871e-05,0.5013385231797678,0,5,0.51
0,-4.855115228184871e-05,0.5085516884183369,0,5,0.5175
0,-1.141805803155506e-05,0.5167953058338445,0,5,0.525
0,-1.141805803155506e-05,0.523664987013434,0,5,0.5325
0,-1.141805803155506e-05,0.5308781522520032,0,5,0.54
0,-1.141805803155506e-05,0.5380913174905723,0,5,0.5475
0,-1.141805803155506e-05,0.5446175146111824,0,5,0.555
0,-1.141805803155506e-05,0.552174163908731,0,5,0.5625
0,-1.141805803155506e-05,0.5590438450883206,0,5,0.57
0,2.571503621873859e-05,0.5672874625038281,0,5,0.5775
0,2.571503621873859e-05,0.5734701755654588,0,5,0.585
0,2.571503621873859e-05,0.5810268248630073,0,5,0.5925
0,2.571503621873859e-05,0.5868660538656585,0,5,0.6
0,2.571503621873859e-05,0.5933922509862686,0,5,0.6075
0,6.284813046903224e-05,0.5992314799889198,0,5,0.615
0,9.99812247193259e-05,0.6047272249325915,0,5,0.6225000000000001
0,0.0001742474132199132,0.6119403901711605,0,5,0.63
0,0.0002113805074702069,0.6177796191738117,0,5,0.6375
0,0.0002485136017205005,0.622931880058504,0,5,0.645
0,0.0003227797902210878,0.6273971728252372,0,5,0.6525
0,0.0003970459787216751,0.6322059496509499,0,5,0.66
0,0.0004713121672222624,0.6359842742997243,0,5,0.6675
0,0.0005455783557228497,0.640106083007478,0,5,0.675
0,0.0006569776384737307,0.6442278917152318,0,5,0.6825
0,0.0007683769212246117,0.6476627323050266,0,5,0.6899999999999999
0,0.0008797762039754926,0.6514410569538008,0,5,0.6975
0,0.0009911754867263736,0.6545324134846162,0,5,0.705
0,0.001102574769477255,0.657280285956452,0,5,0.7125
0,0.001213974052228135,0.6600281584282879,0,5,0.72
0,0.00136250642922931,0.6624325468411443,0,5,0.7275
0,0.001511038806230485,0.6655239033719595,0,5,0.735
0,0.001622438088981366,0.6675848077258365,0,5,0.7425
0,0.00177097046598254,0.6696457120797134,0,5,0.75
0,0.001919502842983715,0.6717066164335902,0,5,0.7575
0,0.002068035219984889,0.6737675207874672,0,5,0.765
0,0.002216567596986064,0.675828425141344,0,5,0.7725
0,0.002365099973987239,0.6775458454362414,0,5,0.78
0,0.002550765445238707,0.6792632657311388,0,5,0.7875
0,0.002699297822239881,0.6809806860260362,0,5,0.795
0,0.002847830199241056,0.6823546222619541,0,5,0.8025
0,0.002996362576242231,0.6833850744388925,0,5,0.8100000000000001
0,0.003182028047493699,0.6851024947337899,0,5,0.8175
0,0.003367693518745167,0.6864764309697079,0,5,0.825
0,0.003516225895746342,0.6875068831466463,0,5,0.8325
0,0.00370189136699781,0.6892243034415437,0,5,0.84
0,0.003850423743998984,0.6902547556184822,0,5,0.8475
0,0.003998956121000159,0.6912852077954206,0,5,0.855
0,0.004184621592251627,0.6926591440313385,0,5,0.8625
0,0.004333153969252801,0.693689596208277,0,5,0.87
0,0.004481686346253976,0.6947200483852154,0,5,0.8774999999999999
0,0.004667351817505445,0.6957505005621538,0,5,0.885
0,0.004890150383007207,0.6967809527390924,0,5,0.8925
0,0.005038682760008381,0.6978114049160308,0,5,0.9
0,0.005224348231259849,0.6988418570929692,0,5,0.9075
0,0.005372880608261024,0.6995288252109282,0,5,0.915
0,0.005558546079512492,0.7005592773878666,0,5,0.9225
0,0.00574421155076396,0.701589729564805,0,5,0.93
0,0.005892743927765135,0.702276697682764,0,5,0.9375
0,0.006078409399016604,0.7033071498597024,0,5,0.945
0,0.006264074870268072,0.7039941179776614,0,5,0.9525
0,0.006412607247269247,0.7050245701545999,0,5,0.96
0,0.006598272718520715,0.7053680542135793,0,5,0.9675
0,0.006783938189772183,0.7060550223315383,0,5,0.975
0,0.006969603661023651,0.7070854745084767,0,5,0.9825
0,0.007118136038024826,0.7077724426264357,0,5,0.99
0,0.007303801509276294,0.7084594107443947,0,5,0.9975000000000001
0,0.007489466980527762,0.7091463788623537,0,5,1.005
0,0.007637999357528936,0.7098333469803125,0,5,1.0125
0,0.007823664828780406,0.7105203150982715,0,5,1.02
0,0.008009330300031875,0.7112072832162305,0,5,1.0275
0,0.00815786267703305,0.7115507672752099,0,5,1.035
0,0.008343528148284518,0.7122377353931689,0,5,1.0425
0,0.008529193619535986,0.7132681875701073,0,5,1.05
0,0.008714859090787454,0.7136116716290869,0,5,1.0575
0,0.008900524562038922,0.7142986397470458,0,5,1.065
0,0.009049056939040097,0.7149856078650048,0,5,1.0725
0,0.009234722410291565,0.7156725759829637,0,5,1.08
0,0.009420387881543034,0.7160160600419432,0,5,1.0875
0,0.009568920258544207,0.7167030281599022,0,5,1.095
0,0.00979171882404597,0.7170465122188817,0,5,1.1025
0,0.009977384295297438,0.7177334803368406,0,5,1.11
0,0.01012591667229861,0.7180769643958201,0,5,1.1175
0,0.01027444904929979,0.7187639325137791,0,5,1.125
0,0.01046011452055125,0.7191074165727586,0,5,1.1325
0,0.01060864689755243,0.719450900631738,0,5,1.14
0,0.01083144546305419,0.720137868749697,0,5,1.1475
0,0.01097997784005537,0.720824836867656,0,5,1.155
0,0.01116564331130683,0.7211683209266354,0,5,1.1625
0,0.01131417568830801,0.721511804985615,0,5,1.17
0,0.01149984115955948,0.7221987731035738,0,5,1.1775
